metode;size;bit;pca ;tipe kernel;c;acc
bsif;11x11;6;1;linear;10;93,698
bsif;11x11;6;1;linear;1;93,698
bsif;13x13;12;0,2;linear;100;93,698
bsif;13x13;5;0,4;linear;100;93,698
bsif;11x11;5;1;linear;100;93,646
bsif;11x11;5;1;linear;10;93,646
bsif;11x11;5;1;linear;1;93,646
bsif;9x9;5;0,6;linear;100;93,646
bsif;9x9;5;0,6;linear;10;93,646
bsif;13x13;12;0,2;linear;1;93,594
bsif;5x5;10;0,4;linear;100;93,542
bsif;13x13;12;0,2;linear;10;93,542
bsif;9x9;10;0,2;linear;10;93,542
bsif;11x11;5;0,6;linear;10;93,49
bsif;5x5;10;0,4;linear;1;93,438
bsif;11x11;5;0,6;linear;1;93,438
bsif;11x11;5;0,6;linear;100;93,438
bsif;5x5;10;0,4;linear;10;93,438
bsif;9x9;10;0,2;linear;1;93,438
bsif;9x9;10;0,2;linear;100;93,438
bsif;9x9;5;0,8;linear;1;93,385
bsif;5x5;7;0,8;linear;1;93,385
bsif;5x5;7;1;linear;100;93,385
bsif;5x5;7;1;linear;10;93,385
bsif;5x5;7;0,8;linear;100;93,333
bsif;5x5;7;0,8;linear;10;93,333
bsif;5x5;7;1;linear;1;93,333
bsif;5x5;7;0,6;linear;1;93,229
bsif;5x5;7;0,6;linear;100;93,177
bsif;5x5;5;1;linear;1;93,125
bsif;11x11;5;0,8;linear;100;93,073
bsif;11x11;5;0,8;linear;10;93,073
bsif;11x11;5;0,8;linear;1;93,073
bsif;5x5;7;0,6;linear;10;93,073
bsif;7x7;12;1;linear;100;93,021
bsif;7x7;12;1;linear;10;93,021
bsif;7x7;12;1;linear;1;93,021
bsif;5x5;5;0,8;linear;1;93,021
bsif;7x7;12;0,8;linear;100;92,969
bsif;7x7;12;0,8;linear;10;92,969
bsif;7x7;12;0,8;linear;1;92,969
bsif;5x5;5;1;linear;100;92,969
bsif;5x5;5;1;linear;10;92,969
bsif;7x7;12;0,6;linear;100;92,969
bsif;7x7;9;0,8;linear;100;92,969
bsif;7x7;9;0,8;linear;10;92,969
bsif;7x7;9;0,8;linear;1;92,969
bsif;5x5;5;0,8;linear;100;92,917
bsif;5x5;5;0,8;linear;10;92,917
bsif;7x7;10;0,4;linear;100;92,917
bsif;7x7;12;0,6;linear;10;92,865
bsif;7x7;9;1;linear;100;92,865
bsif;7x7;9;1;linear;10;92,865
bsif;7x7;9;1;linear;1;92,865
bsif;7x7;12;0,6;linear;1;92,813
bsif;5x5;5;0,6;linear;100;92,813
bsif;5x5;5;0,6;linear;10;92,813
bsif;7x7;10;0,4;linear;10;92,813
bsif;7x7;10;0,4;linear;1;92,813
bsif;9x9;7;0,4;linear;100;92,656
